TRANS_ID,USER_ID,TRANS_DATE,AMOUNT
1,1,2026-09-09,51.00
2,2,2026-09-08,52.00
3,3,2026-09-07,53.00
4,4,2026-09-06,54.00
5,5,2026-09-05,55.00
6,6,2026-09-04,56.00
7,7,2026-09-03,57.00
8,8,2026-09-02,58.00
9,9,2026-09-01,59.00
10,10,2026-08-31,60.00
11,11,2026-08-30,61.00
12,12,2026-08-29,62.00
13,13,2026-08-28,63.00
14,14,2026-08-27,64.00
15,15,2026-08-26,65.00
16,16,2026-08-25,66.00
17,17,2026-08-24,67.00
18,18,2026-08-23,68.00
19,19,2026-08-22,69.00
20,20,2026-08-21,70.00
21,21,2026-08-20,71.00
22,22,2026-08-19,72.00
23,23,2026-08-18,73.00
24,24,2026-08-17,74.00
25,25,2026-08-16,75.00
26,26,2026-08-15,76.00
27,27,2026-08-14,77.00
28,28,2026-08-13,78.00
29,29,2026-08-12,79.00
30,30,2026-08-11,80.00
31,31,2026-08-10,81.00
32,32,2026-08-09,82.00
33,33,2026-08-08,83.00
34,34,2026-08-07,84.00
35,35,2026-08-06,85.00
36,36,2026-08-05,86.00
37,37,2026-08-04,87.00
38,38,2026-08-03,88.00
39,39,2026-08-02,89.00
40,40,2026-08-01,90.00
41,41,2026-07-31,91.00
42,42,2026-07-30,92.00
43,43,2026-07-29,93.00
44,44,2026-07-28,94.00
45,45,2026-07-27,95.00
46,46,2026-07-26,96.00
47,47,2026-07-25,97.00
48,48,2026-07-24,98.00
49,49,2026-07-23,99.00
50,50,2026-07-22,100.00
51,51,2026-07-21,101.00
52,52,2026-07-20,102.00
53,53,2026-07-19,103.00
54,54,2026-07-18,104.00
55,55,2026-07-17,105.00
56,56,2026-07-16,106.00
57,57,2026-07-15,107.00
58,58,2026-07-14,108.00
59,59,2026-07-13,109.00
60,60,2026-07-12,110.00
61,61,2026-07-11,111.00
62,62,2026-07-10,112.00
63,63,2026-07-09,113.00
64,64,2026-07-08,114.00
65,65,2026-07-07,115.00
66,66,2026-07-06,116.00
67,67,2026-07-05,117.00
